total length: 1357
number of turns: 67
number of segments: 68
shortest distance(euclidean distance): 492.452

length 1: 2.23607
length 2: 10
length 3: 20.1246
length 4: 18.0278
length 5: 15.8114
length 6: 11.0454
length 7: 24.0832
length 8: 20.6155
length 9: 27.074
length 10: 15
length 11: 22.8473
length 12: 17
length 13: 28.3196
length 14: 1.41421
length 15: 37.6431
length 16: 7.07107
length 17: 17.2047
length 18: 5.09902
length 19: 43.6005
length 20: 12.0416
length 21: 5.38516
length 22: 5.65685
length 23: 6.08276
length 24: 22.8473
length 25: 10
length 26: 20.2485
length 27: 19.6469
length 28: 6.08276
length 29: 5.83095
length 30: 13.4164
length 31: 10.6301
length 32: 29.5466
length 33: 20.8806
length 34: 4.47214
length 35: 6
length 36: 21.3776
length 37: 11.1803
length 38: 21.0238
length 39: 32.249
length 40: 6.7082
length 41: 5
length 42: 11.1803
length 43: 5.38516
length 44: 6.32456
length 45: 6.32456
length 46: 10.6301
length 47: 3.60555
length 48: 30.6105
length 49: 51.6624
length 50: 47.1699
length 51: 1
length 52: 62.0081
length 53: 111.647
length 54: 33.2866
length 55: 30.1496
length 56: 9.48683
length 57: 17.8885
length 58: 20.6155
length 59: 3.16228
length 60: 1.41421
length 61: 2.23607
length 62: 46.5296
length 63: 8.94427
length 64: 9.43398
length 65: 19.9249
length 66: 22.0227
length 67: 215.641
length 68: 0

old 1: 10
old 2: 79
old 3: 82
old 4: 35
old 5: 51
old 6: 43
old 7: 80
old 8: 35
old 9: 42
old 10: 60
old 11: 66
old 12: 47
old 13: 3
old 14: 28
old 15: 29
old 16: 9
old 17: 46
old 18: 48
old 19: 31
old 20: 18
old 21: 24
old 22: 35
old 23: 14
old 24: 67
old 25: 69
old 26: 34
old 27: 25
old 28: 50
old 29: 5
old 30: 14
old 31: 24
old 32: 7
old 33: 10
old 34: 64
old 35: 79
old 36: 37
old 37: 52
old 38: 35
old 39: 33
old 40: 63
old 41: 27
old 42: 33
old 43: 3
old 44: 36
old 45: 60
old 46: 16
old 47: 86
old 48: 4
old 49: 48
old 50: 86
old 51: 38
old 52: 22
old 53: 26
old 54: 63
old 55: 13
old 56: 81
old 57: 13
old 58: 20
old 59: 63
old 60: 72
old 61: 55
old 62: 54
old 63: 32
old 64: 50
old 65: 68
old 66: 15
